"UPS Worldwide Express Plus",""
"UPS Worldwide Express PlusSM",""
"UPS Worldwide Saver",""
"USPS","USPS"
"USPS GXG Envelopes",""
"Unable to retrieve tracking","Αδύνατη η ανάκτηση της παρακολούθησης"
"United Parcel Service","United Parcel Service"
"United Parcel Service XML","United Parcel Service XML"
"Unknown error","Άγνωστο σφάλμα"
"Used only when ""Additional Protection Value"" is set to ""Configuration"". Can contain only numeric amount.",""
"User ID","ID Χρήστη"
"Variable","Μεταβλητή"
"Waybill barcode information is missing",""
"Weight Unit","Μονάδα Βάρους"
"Weight unit is invalid",""
"Width","Πλάτος"
"Worldwide Expedited",""
"Worldwide Express",""
"Worldwide Express Letter",""
"Worldwide Express Plus",""
"Worldwide Express Plus Letter",""
"Worldwide Express Saver",""
"Wrong Content Type.",""
"Wrong Region.",""
"Yes","Ναι"
"Your Packaging","Η Συσκευασία σας"
"Zero shipping charge for '%s'",""
"cm","εκατ"
"inch",""
